ticker,year,month,window_size,mu,sigma,beta_sentiment,MAE,RMSE
AMD,2024,8,252,0.2334399678135777,0.4727793917469759,0.9648791224780704,19.09703969275759,22.999053820253327
AMD,2024,9,252,0.33199923626656735,0.4724981326454896,0.024279648157990583,12.972030102700842,15.402480947383408
AMD,2024,10,252,0.46795793189342405,0.48080634849489656,0.29827970986008034,7.284143138245087,8.537361648611139
AMD,2024,11,252,0.38024279523325283,0.4941425367185501,-0.3618223138176826,5.9571724767056295,6.972221826482514
AMD,2024,12,252,0.10222273506488105,0.4860129871874063,-0.49170634265753077,16.450338156067783,18.928796976371327
AMD,2025,1,252,-0.19916433670552328,0.48105361954110004,-0.3066043130175338,3.534297698738842,4.340322928250701
AMD,2025,2,252,-0.39468420162199214,0.4698298823516837,-0.40843924686629823,4.666448306084502,6.504797409767203
AMD,2025,3,252,-0.5780143391075512,0.46159316368304076,-0.40236377012222796,5.405502809415986,7.147275842803606
AMD,2025,4,252,-0.5584749503926132,0.45823771546510494,0.1252417479144732,8.398248227895792,10.478181010449237
AMD,2025,5,252,-0.48047758106214766,0.5282415174940482,0.5912062110530594,17.896068661874086,20.15253970506296
AMD,2025,6,252,-0.43812962794442833,0.5228914599478763,0.12651439924110452,14.021989520442183,17.844296497240173
AMD,2025,7,252,-0.12251696799127909,0.5332756733137208,0.06929222577304188,20.163520358128576,25.128882121756874
AMD,2025,8,252,0.229768351375309,0.5198488446365531,-0.24001718111540638,7.029425438154406,8.84064585562014
AMD,2025,9,252,0.08000463678991049,0.5162635882555542,-0.008724682807831436,3.348306122014259,4.645313036297951
AMD,2025,10,252,-0.002325067596178565,0.5057989903593554,-0.21035632766269774,60.884030912093756,66.55022640689049
AMD,2025,11,252,0.4700679735000236,0.574070859360834,-0.3032825800685552,36.735669717486,43.50730087082884
AMD,2025,12,252,0.45164560274683896,0.5880404894168371,-0.17326296741311867,2.7986436371080003,3.9578797878473004
KO,2022,1,252,0.12849662231672057,0.1536923752636666,-0.12044208173915677,0.42033666040593015,0.492785391313356
KO,2022,2,252,0.227724149493173,0.1414044617018799,-0.08086028629199159,0.6246853367997843,0.7700699217741742
KO,2022,3,252,0.25891105660765745,0.146641165469144,-0.09596196767136927,1.9400707120312441,2.3163327119837507
KO,2022,4,252,0.2180065228390438,0.14926087777293615,-0.05431441228706378,1.3489945650575357,1.5872572175782402
KO,2022,5,252,0.21966630243206514,0.1519132207345343,-0.017277158453357897,1.0340185478933928,1.3936008122879526
KO,2022,6,252,0.23466995443377572,0.16271702534865037,-0.032431374394516606,1.4449134390862572,1.862979680425724
KO,2022,7,252,0.17381037768446045,0.16868267763909203,-0.021389694847697403,1.840804617876508,2.019623606652546
KO,2022,8,252,0.21515687004521042,0.1718967463158193,-0.030458218941107933,1.189508869594899,1.4717217280103327
KO,2022,9,252,0.11758252637069627,0.17355158484388156,-0.047733409482780306,1.969552161077549,2.5875250491997814
KO,2022,10,252,0.08853210217989521,0.1788828794299002,-0.048309803770576386,1.3923680023260938,1.66992086105334
KO,2022,11,252,0.18110932626668236,0.18731849731574815,-0.039313103737392045,1.227071968588336,1.5279851415764716
KO,2022,12,252,0.18284647049267716,0.18841171258838307,-0.055722491728853414,0.39627444166371567,0.5228378027355252
KO,2023,1,252,0.19927051819538022,0.1822922245289393,-0.0037691823396533383,1.8729322915051365,2.149680023350743
KO,2023,2,252,0.0846709730831591,0.1786167167443849,-0.015952575997635797,1.4514778987971582,1.5322939755563891
KO,2023,3,252,0.050767069863919136,0.18016666309713297,-0.014143088509572743,1.4982635641573794,1.7685979964444727
KO,2023,4,252,0.0548545702499366,0.1727360162930144,-0.0172007055753463,0.787147933929112,0.938270776792112
KO,2023,5,252,0.08572859231507102,0.1626425157524002,-0.001095052117219862,1.7708871706065736,2.3335563179842302
KO,2023,6,252,-0.025491191166859842,0.1591271159720185,-0.04309587686908588,1.219012547230912,1.432241537218346
KO,2023,7,252,-0.06234058827180948,0.1488743803269509,0.03421217417633266,1.0304771321753807,1.2768620396066717
KO,2023,8,252,-0.015880785099604784,0.14283438594439626,-0.024717631915892362,0.8656525505846316,0.9566256977912531
KO,2023,9,252,-0.06038643687977824,0.1390435933511951,-0.09060934656332269,0.5649406551452856,0.7487346329646339
KO,2023,10,252,-0.07322969765330659,0.13710726809386978,-0.14206618182535624,1.1493671023346068,1.3536977846691027
KO,2023,11,252,0.03147570190013338,0.14331325834207392,-0.17582600881698462,0.823709281419952,1.0636271031185456
KO,2023,12,252,-0.0330298688872393,0.1313801534669676,-0.18312006130399155,1.4371059793325731,1.6605947790601274
KO,2024,1,252,-0.07405566696193289,0.12914888465054367,-0.0627496880849462,0.3915467489787143,0.4679117901136818
KO,2024,2,252,-0.020543248475072964,0.12775728436805744,-0.11253156903948894,0.7299070998476898,0.8490418280084395
KO,2024,3,252,0.004919795218075793,0.12870311311372606,-0.11922714881079355,1.2251019817247066,1.4767652511098697
KO,2024,4,252,0.017603199030229083,0.12698944678986454,-0.11565947048114106,1.1237347979824683,1.281602015790105
KO,2024,5,252,-0.01255038541012593,0.13143649984540337,-0.1430217344126957,1.0429091507312036,1.1725899213742015
KO,2024,6,252,0.055251665468712234,0.13059881075591262,-0.23810579073469088,0.638033737787779,0.8156688507583082
KO,2024,7,252,0.05096303456899008,0.13022386168764236,-0.17590584651547028,1.8646645855431776,2.532057773325132
KO,2024,8,252,0.09192169170130574,0.1312561726692172,-0.09465031927082233,1.5398828782278344,2.0212681572648017
KO,2024,9,252,0.20739378471213232,0.133759171285927,-0.14005310516614725,1.745871055565577,1.853388902871619
KO,2024,10,252,0.26673377421489564,0.1341377604573282,0.013378769483244454,3.530104042019786,4.146876005929574
KO,2024,11,252,0.1942432571971498,0.12219966608983344,0.10697282559059755,2.0434744635738307,2.314297920277325
KO,2024,12,252,0.13499623731368882,0.12568646321894286,0.19508381552283613,2.2082861259958078,2.492356256519949
KO,2025,1,252,0.09535420194211781,0.12768210779582728,0.190307522469562,0.5108750057448105,0.6276637345558521
KO,2025,2,252,0.10894668186115851,0.13451137397909993,0.14808552097934216,4.425327181566069,5.290311338309903
KO,2025,3,252,0.18271193863693058,0.1432969822161803,-0.04639151724687022,2.313565903124002,2.5028249174826964
KO,2025,4,252,0.18572227469433944,0.15026123136627323,-0.011253037088002954,1.0694483552599887,1.4800425894330047
KO,2025,5,252,0.19614716264291682,0.16243341642375794,0.09963289996386729,0.7791085787446419,1.0837657270271093
KO,2025,6,252,0.15174529375396323,0.16903437437755878,0.1278082084407615,0.742472075187132,0.8480358898283604
KO,2025,7,252,0.12564798779412234,0.16822459162342845,0.10304062962860236,2.1169838073354463,2.4459303814621585
KO,2025,8,252,0.08675714581403526,0.17102211200667058,0.06487853222364955,0.7874337493855124,0.9241412947318725
KO,2025,9,252,0.014782483172091188,0.168484430670492,0.0073615965164451095,1.6839483974534688,1.8397511863467821
